tweet_id	date	time	lang	country_code
1512851481115852800	2022-04-09	17:54:35	en	NULL
1512851486660870149	2022-04-09	17:54:36	en	NULL
1512851488367816704	2022-04-09	17:54:36	en	NULL
1512851493032022024	2022-04-09	17:54:38	en	NULL
1512851497956040710	2022-04-09	17:54:39	es	NULL
1512851509385519107	2022-04-09	17:54:41	en	NULL
1512851509557481474	2022-04-09	17:54:41	it	NULL
1512851527337082881	2022-04-09	17:54:46	en	NULL
1512851527433551872	2022-04-09	17:54:46	en	NULL
1512851527899230217	2022-04-09	17:54:46	es	PE
1512851528385802243	2022-04-09	17:54:46	en	NULL
1512851543778865164	2022-04-09	17:54:50	en	NULL
1512851548338110473	2022-04-09	17:54:51	en	NULL
1512851559008600065	2022-04-09	17:54:53	en	NULL
1512851559390097412	2022-04-09	17:54:53	en	NULL
1512851561923465223	2022-04-09	17:54:54	it	NULL
1512851570140065796	2022-04-09	17:54:56	es	NULL
1512851574720188420	2022-04-09	17:54:57	und	NULL
1512851580420521984	2022-04-09	17:54:58	es	NULL
1512851583863828485	2022-04-09	17:54:59	da	NULL
1512851596421611531	2022-04-09	17:55:02	ca	NULL
1512851598514434050	2022-04-09	17:55:03	it	NULL
1512851598879383559	2022-04-09	17:55:03	en	NULL
1512851603866324993	2022-04-09	17:55:04	en	NULL
1512851605376446465	2022-04-09	17:55:04	el	NULL
1512851633797054466	2022-04-09	17:55:11	en	NULL
1512851636804366342	2022-04-09	17:55:12	en	NULL
1512851644123336711	2022-04-09	17:55:14	en	NULL
1512851645620797440	2022-04-09	17:55:14	en	NULL
1512851647562539015	2022-04-09	17:55:14	en	NULL
1512851671587737606	2022-04-09	17:55:20	en	NULL
1512851673139527684	2022-04-09	17:55:20	es	NULL
1512851673370148864	2022-04-09	17:55:21	es	NULL
1512851674947330055	2022-04-09	17:55:21	und	NULL
1512851676281061386	2022-04-09	17:55:21	de	NULL
1512851680169238536	2022-04-09	17:55:22	und	NULL
1512851689141059586	2022-04-09	17:55:24	th	NULL
1512851698888368133	2022-04-09	17:55:27	und	NULL
1512851710133170177	2022-04-09	17:55:29	en	NULL
1512851710988935178	2022-04-09	17:55:29	en	US
1512851711492345861	2022-04-09	17:55:30	en	NULL
1512851716533899268	2022-04-09	17:55:31	en	NULL
1512851725199323139	2022-04-09	17:55:33	en	NULL
1512851728647000069	2022-04-09	17:55:34	en	NULL
